"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections"
"203","Reelease","A69-9006-5446","Releasesite1","VR2W-135451","55.4062","12.291033",2019-11-20 17:20:02,2019-11-20 17:49:21,8
"204","Reelease","A69-9006-5446","Sound2","VR2W-132672","56.04825","12.6187667",2019-11-23 21:43:50,2019-11-23 21:48:41,7
"205","Reelease","A69-9006-5447","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"206","Reelease","A69-9006-5447","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:24:28,2019-11-20 18:29:12,6
"207","Reelease","A69-9006-5447","Sound5","VR2W-103417","56.0622667","12.6413833",2019-12-24 04:15:46,2019-12-24 04:15:46,1
"208","Reelease","A69-9006-5447","Sound6","VR2W-133223","56.05462","12.6503",2019-12-24 04:16:22,2019-12-24 04:16:22,1
"209","Reelease","A69-9006-5447","Sound5","VR2W-103417","56.0622667","12.6413833",2019-12-24 04:16:50,2019-12-24 04:16:50,1
"210","Reelease","A69-9006-5447","Sound6","VR2W-133223","56.05462","12.6503",2019-12-24 04:17:18,2019-12-24 04:35:16,15
"211","Reelease","A69-9006-5447","Sound7","VR2W-135450","56.0684833","12.6631833",2019-12-24 04:50:27,2019-12-24 04:51:41,2
"212","Reelease","A69-9006-5448","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"213","Reelease","A69-9006-5448","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:05:20,2019-11-20 17:58:44,16
"214","Reelease","A69-9006-5448","Releasesite3","VR2W-135452","55.40695","12.3004",2019-11-21 03:08:16,2019-11-21 03:08:16,1
"215","Reelease","A69-9006-5449","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"216","Reelease","A69-9006-5449","Releasesite5","VR2W-135468","55.402133","12.3056",2019-11-20 17:44:47,2019-11-20 18:16:58,5
"217","Reelease","A69-9006-5449","Releasesite3","VR2W-135452","55.40695","12.3004",2019-11-20 19:30:41,2019-11-20 19:44:26,3
"218","Reelease","A69-9006-5449","STSUB1","VR2W-135459","55.341383","11.030783",2019-12-12 14:00:04,2019-12-12 14:21:20,16
"219","Reelease","A69-9006-5450","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"220","Reelease","A69-9006-5450","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:55:17,2019-11-20 19:44:48,27
"221","Reelease","A69-9006-5450","Sound2","VR2W-132672","56.04825","12.6187667",2019-11-30 15:08:13,2019-11-30 15:08:13,1
"222","Reelease","A69-9006-5450","Sound4","VR2W-108765","56.0587","12.63245",2019-11-30 15:42:53,2019-11-30 15:45:27,3
"223","Reelease","A69-9006-5451","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"224","Reelease","A69-9006-5451","Releasesite3","VR2W-135452","55.40695","12.3004",2019-11-20 17:12:25,2019-11-20 17:45:13,4
"225","Reelease","A69-9006-5452","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"226","Reelease","A69-9006-5452","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:19:02,2019-11-20 18:25:32,13
"227","Reelease","A69-9006-5452","VB2","VR2W-125456","55.301233","10.862217",2019-12-11 21:03:35,2019-12-11 21:51:15,24
"228","Reelease","A69-9006-5453","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"229","Reelease","A69-9006-5453","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:22:37,2019-11-20 21:27:52,142
"230","Reelease","A69-9006-5454","Johnring","none","55.403733","12.29945",2019-11-20 15:45:00,2019-11-20 15:45:00,1
"231","Reelease","A69-9006-5454","Johnring","VR2W-133213","55.403733","12.29945",2019-11-20 17:17:40,2019-11-20 18:25:46,35
