"","animal_project_code","tag_id","station_name","receiver_id","deploy_latitude","deploy_longitude","arrival","departure","detections","swimtime_s","swimdistance_m","speed_m_s","totaldistance_m"
"201","Reelease","A69-9006-5440","Releasesite3","VR2W-135452",55.40695,12.3004,2019-11-30 11:23:24,2019-11-30 11:58:38,24,174511,665.716598,0.003815,14518.06055
"202","Reelease","A69-9006-5440","VB16","VR2W-112452",55.32425,10.943683,2020-09-10 12:48:56,2020-09-10 13:21:41,5,24627018,157606.289077,0.0064,172124.349627
"203","Reelease","A69-9006-5440","VB16","VR2W-112452",55.32425,10.943683,2020-09-10 14:23:33,2020-09-10 21:05:48,159,NA,NA,NA,172124.349627
"204","Reelease","A69-9006-5440","VB16","VR2W-112452",55.32425,10.943683,2020-09-10 22:13:42,2020-09-11 08:34:27,224,NA,NA,NA,172124.349627
"205","Reelease","A69-9006-5441","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"206","Reelease","A69-9006-5441","Releasesite4","VR2W-135454",55.40425,12.304317,2019-11-20 17:18:33,2019-11-21 06:48:58,312,9213,341.468475,0.037064,341.468475
"207","Reelease","A69-9006-5441","Releasesite1","VR2W-135451",55.4062,12.291033,2019-11-21 09:52:20,2019-11-21 10:02:08,4,11002,841.563135,0.076492,1183.03161
"208","Reelease","A69-9006-5442","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"209","Reelease","A69-9006-5442","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 17:29:02,2019-11-20 17:30:13,2,NA,NA,NA,0
"210","Reelease","A69-9006-5442","STSUB1","VR2W-135459",55.341383,11.030783,2019-12-25 21:59:19,2019-12-25 22:22:52,14,3040146,153274.949868,0.050417,153274.949868
"211","Reelease","A69-9006-5443","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"212","Reelease","A69-9006-5443","Releasesite1","VR2W-135451",55.4062,12.291033,2019-11-20 17:12:32,2019-11-20 17:35:13,3,8852,582.918018,0.065852,582.918018
"213","Reelease","A69-9006-5444","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"214","Reelease","A69-9006-5444","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 17:17:25,2019-11-20 20:18:07,89,NA,NA,NA,0
"215","Reelease","A69-9006-5444","STSUB1","VR2W-135459",55.341383,11.030783,2019-11-28 04:06:53,2019-11-28 04:25:47,6,632926,153274.949868,0.242169,153274.949868
"216","Reelease","A69-9006-5444","VB11","VR2W-125447",55.314733,10.916733,2019-11-30 05:18:20,2019-11-30 06:10:48,43,175953,8474.950109,0.048166,161749.899977
"217","Reelease","A69-9006-5445","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"218","Reelease","A69-9006-5445","Releasesite3","VR2W-135452",55.40695,12.3004,2019-11-20 17:45:16,2019-11-20 18:08:52,10,10816,441.413075,0.040811,441.413075
"219","Reelease","A69-9006-5446","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"220","Reelease","A69-9006-5446","Releasesite1","VR2W-135451",55.4062,12.291033,2019-11-20 17:20:02,2019-11-20 17:49:21,8,9302,582.918018,0.062666,582.918018
"221","Reelease","A69-9006-5446","Sound2","VR2W-132672",56.04825,12.6187667,2019-11-23 21:43:50,2019-11-23 21:48:41,7,273269,87794.014349,0.321273,88376.932367
"222","Reelease","A69-9006-5447","Johnring","none",55.403733,12.29945,2019-11-20 14:45:00,2019-11-20 14:45:00,1,NA,NA,NA,0
"223","Reelease","A69-9006-5447","Johnring","VR2W-133213",55.403733,12.29945,2019-11-20 17:24:28,2019-11-20 18:29:12,6,NA,NA,NA,0
